family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum
er,100,202,2,4.0,4.04,0,1934557323,38,0,771,771,106,43,True,202,2056
er,100,192,2,4.0,3.84,1,3383536455,35,0,555,555,95,40,True,192,1842
er,100,204,2,4.0,4.08,2,4283268586,31,0,371,371,94,49,True,204,1960
er,100,195,2,4.0,3.9,3,3597421830,32,0,294,294,100,45,True,195,1886
er,100,192,2,4.0,3.84,4,3742267195,25,0,291,291,89,41,True,192,1808
er,100,200,2,4.0,4.0,5,3455094062,30,0,1292,1292,92,47,True,200,1954
er,100,211,2,4.0,4.22,6,222959503,37,0,688,688,107,50,True,211,2182
er,100,190,2,4.0,3.8,7,1609841846,39,0,573,573,104,38,True,190,1860
er,100,204,2,4.0,4.08,8,3285639427,32,0,793,793,101,46,True,204,2066
er,100,210,2,4.0,4.2,9,3008637242,29,0,520,520,98,46,True,210,2138
er,100,196,2,4.0,3.92,10,3041163038,32,0,236,236,101,47,True,196,1916
er,100,182,2,4.0,3.64,11,2518976357,32,0,529,529,92,38,True,182,1666
er,100,207,2,4.0,4.14,12,1663458600,33,0,511,511,100,49,True,207,2038
er,100,218,2,4.0,4.36,13,1804967937,26,0,653,653,107,52,True,218,2450
er,100,218,2,4.0,4.36,14,3736577949,31,0,435,435,106,51,True,218,2272
er,100,189,2,4.0,3.78,15,3740877292,32,0,952,952,94,37,True,189,1776
er,100,191,2,4.0,3.82,16,1744835052,33,0,241,241,104,49,True,191,1760
er,100,206,2,4.0,4.12,17,4045876115,32,0,404,404,92,50,True,206,1992
er,100,200,2,4.0,4.0,18,2070859965,28,0,397,397,87,43,True,200,1986
er,100,201,2,4.0,4.02,19,204126545,39,0,376,376,110,43,True,201,1924
er,100,226,2,4.0,4.52,20,796219171,33,0,401,401,110,48,True,226,2450
er,100,199,2,4.0,3.98,21,3235293675,32,0,260,260,109,48,True,199,2012
er,100,192,2,4.0,3.84,22,1274846377,27,0,322,322,93,45,True,192,1816
er,100,196,2,4.0,3.92,23,2892676883,39,0,322,322,103,39,True,196,1814
er,100,214,2,4.0,4.28,24,1427796757,34,0,558,558,108,47,True,214,2138
er,100,209,2,4.0,4.18,25,1289082992,35,0,436,436,116,53,True,209,2232
er,100,229,2,4.0,4.58,26,837562426,35,0,437,437,119,54,True,229,2490
er,100,175,2,4.0,3.5,27,3617302536,28,0,357,357,80,33,True,175,1550
er,100,221,2,4.0,4.42,28,1995681971,32,0,397,397,106,53,True,221,2302
er,100,222,2,4.0,4.44,29,621383892,30,0,710,710,97,51,True,222,2416
er,100,219,2,4.0,4.38,30,1583361403,32,0,446,446,106,55,True,219,2356
er,100,189,2,4.0,3.78,31,2490456768,28,0,380,380,97,46,True,189,1830
er,100,199,2,4.0,3.98,32,3489024136,35,0,557,557,104,45,True,199,1924
er,100,205,2,4.0,4.1,33,2223387271,34,0,332,332,102,48,True,205,2080
er,100,191,2,4.0,3.82,34,718182643,41,0,677,677,107,42,True,191,1728
er,100,213,2,4.0,4.26,35,2545527636,29,0,714,714,97,45,True,213,2162
er,100,181,2,4.0,3.62,36,3845262935,36,0,324,324,95,45,True,181,1772
er,100,220,2,4.0,4.4,37,1610256897,37,0,270,270,110,52,True,220,2308
er,100,208,2,4.0,4.16,38,2913332854,36,0,687,687,108,40,True,208,2134
er,100,186,2,4.0,3.72,39,891190815,37,0,392,392,106,41,True,186,1700
er,200,386,2,4.0,3.86,0,1403825569,65,0,853,853,211,87,True,386,3714
er,200,364,2,4.0,3.64,1,3715415040,71,0,1595,1595,193,79,True,364,3398
er,200,368,2,4.0,3.68,2,265062386,54,0,877,877,168,84,True,368,3412
er,200,361,2,4.0,3.61,3,1677551766,64,0,1380,1380,183,81,True,361,3270
er,200,399,2,4.0,3.99,4,1251639492,66,0,1441,1441,195,80,True,399,3974
er,200,370,2,4.0,3.7,5,1703317121,60,0,917,917,179,87,True,370,3454
er,200,395,2,4.0,3.95,6,1271697616,56,0,884,884,191,87,True,395,3988
er,200,415,2,4.0,4.15,7,865885293,70,0,952,952,220,99,True,415,4340
er,200,402,2,4.0,4.02,8,107211846,77,0,1667,1667,206,87,True,402,3994
er,200,379,2,4.0,3.79,9,1836316461,62,0,1496,1496,182,79,True,379,3596
er,200,390,2,4.0,3.9,10,628697458,65,0,805,805,199,74,True,390,3778
er,200,400,2,4.0,4.0,11,1402226324,67,0,1422,1422,197,90,True,400,3942
er,200,419,2,4.0,4.19,12,1278907611,72,0,1154,1154,211,85,True,419,4348
er,200,403,2,4.0,4.03,13,3098081207,69,0,913,913,194,88,True,403,4014
er,200,433,2,4.0,4.33,14,2236995166,59,0,2351,2351,199,85,True,433,4632
