family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum,max_degree,threshold_h,weight_w,excess_x0,parity_epsilon,threshold_activation_count,relaxation_bound,high_palette
er,100,202,2,4.0,4.04,0,1934557323,38,0,771,771,106,43,True,202,2056,11,88,6,18,0,15,1048.53242346,False
er,100,192,2,4.0,3.84,1,3383536455,35,0,555,555,95,40,True,192,1842,9,82,5,13,1,17,1132.17641932,False
er,100,204,2,4.0,4.08,2,4283268586,31,0,371,371,94,49,True,204,1960,9,89,5,5,0,3,570.833333333,False
er,100,195,2,4.0,3.9,3,3597421830,32,0,294,294,100,45,True,195,1886,9,83,5,17,0,23,859.88813066,False
er,100,192,2,4.0,3.84,4,3742267195,25,0,291,291,89,41,True,192,1808,10,81,5,8,0,19,679.464285714,False
er,100,200,2,4.0,4.0,5,3455094062,30,0,1292,1292,92,47,True,200,1954,9,88,5,4,1,8,838.095238095,False
er,100,211,2,4.0,4.22,6,222959503,37,0,688,688,107,50,True,211,2182,9,93,5,14,0,24,812.890581641,False
er,100,190,2,4.0,3.8,7,1609841846,39,0,573,573,104,38,True,190,1860,9,83,5,21,0,40,911.339676191,False
er,100,204,2,4.0,4.08,8,3285639427,32,0,793,793,101,46,True,204,2066,9,88,5,13,1,21,1132.17641932,False
er,100,210,2,4.0,4.2,9,3008637242,29,0,520,520,98,46,True,210,2138,9,92,5,6,1,9,939.105339105,False
er,100,196,2,4.0,3.92,10,3041163038,32,0,236,236,101,47,True,196,1916,8,86,4,15,0,22,663.645798646,False
er,100,182,2,4.0,3.64,11,2518976357,32,0,529,529,92,38,True,182,1666,8,78,4,14,1,23,920.555950274,False
er,100,207,2,4.0,4.14,12,1663458600,33,0,511,511,100,49,True,207,2038,9,89,5,11,0,9,754.969336219,False
er,100,218,2,4.0,4.36,13,1804967937,26,0,653,653,107,52,True,218,2450,15,95,8,12,1,25,1779.48227092,False
er,100,218,2,4.0,4.36,14,3736577949,31,0,435,435,106,51,True,218,2272,10,96,5,10,0,9,732.242063492,False
er,100,189,2,4.0,3.78,15,3740877292,32,0,952,952,94,37,True,189,1776,8,81,4,13,1,22,905.741135459,False
er,100,191,2,4.0,3.82,16,1744835052,33,0,241,241,104,49,True,191,1760,9,83,5,21,1,31,1252.03172713,False
er,100,206,2,4.0,4.12,17,4045876115,32,0,404,404,92,50,True,206,1992,8,90,4,2,0,10,300,False
er,100,200,2,4.0,4.0,18,2070859965,28,0,397,397,87,43,True,200,1986,9,85,5,2,1,2,666.666666667,False
er,100,201,2,4.0,4.02,19,204126545,39,0,376,376,110,43,True,201,1924,8,85,4,25,1,38,1036.49049978,False
er,100,226,2,4.0,4.52,20,796219171,33,0,401,401,110,48,True,226,2450,11,101,6,9,1,9,1248.37437073,False
er,100,199,2,4.0,3.98,21,3235293675,32,0,260,260,109,48,True,199,2012,9,85,5,24,1,54,1285.40904309,False
er,100,192,2,4.0,3.84,22,1274846377,27,0,322,322,93,45,True,192,1816,9,85,5,8,0,9,679.464285714,False
