family,n,k_colors,average_degree,runs,mean_tau_h,mean_b_h,mean_w,mean_delta,mean_degree_variance,mean_degree_cv2,certificate_looseness,cell_tau_over_b
ba,100,2,4.0,40,12.925,1897.2376011076751,12.425,24.35,13.8376,0.9005102040816328,146.78820898318568,0.006812536285625967
ba,100,2,8.0,40,9.825,2669.9990945275,17.95,35.35,33.0731,0.5607282850477431,271.75563303078883,0.003679776528815151
ba,100,2,12.0,40,11.875,3224.99614973925,20.925,41.25,51.407100000000014,0.40402189904934377,271.5786231359368,0.0036821749387081055
ba,100,2,16.0,40,10.45,3908.4538828942505,23.8,47.075,69.3076,0.3198639089083175,374.0147256358135,0.0026736915192310433
ba,100,3,4.0,40,37.15,3670.33766564725,16.95,25.05,13.720600000000001,0.8928961890878803,98.79778373209287,0.010121684538103318
ba,100,3,8.0,40,18.425,4608.51897228425,23.3,34.35,31.5346,0.5346442328559029,250.12314639263226,0.003998030627802212
ba,100,3,12.0,40,9.95,5107.2148310229995,27.45,40.675,51.37660000000002,0.4037821915396612,513.2879227158794,0.001948224292340365
ba,100,3,16.0,40,11.8,5511.115922268,31.575,46.85,70.2261,0.32410291011932885,467.04372222610164,0.0021411271630708004
ba,100,4,4.0,40,46.9,4179.173258031,18.45,24.15,13.0091,0.8465938671386924,89.10817181302772,0.01122231530120786
ba,100,4,8.0,40,11.7,4584.9149163130005,25.725,33.875,31.267600000000005,0.5301174587673612,391.87306977034194,0.002551846700223754
ba,100,4,12.0,40,17.275,6314.437872861499,30.125,39.725,49.77710000000001,0.391211300990896,365.52462360992763,0.0027357938026827916
ba,100,4,16.0,40,9.925,6485.65520313775,36.025,47.525,70.86459999999998,0.3270496736176748,653.4665192078337,0.0015303002841098154
ba,100,5,4.0,40,55.65,4387.97219367925,20.625,25.35,14.2306,0.9260854852144942,78.84945541202606,0.012682395772735808
ba,100,5,8.0,40,25.875,5926.3181681075,27.65,34.1,32.7966,0.5560404459635417,229.03645094135265,0.004366117252908626
ba,100,5,12.0,40,15.3,6919.39673492675,32.45,40.075,50.11610000000002,0.3938755910165487,452.24815260959144,0.0022111754226738917
ba,100,5,16.0,40,18.55,8495.1479264255,38.35,47.475,69.9476,0.32281759510869557,457.95945695016167,0.002183599409999359
ba,100,8,4.0,40,72.875,4545.18647827675,22.375,25.125,13.5936,0.8846314035818411,62.36962577395197,0.01603344556891088
ba,100,8,8.0,40,43.6,6724.231153860999,29.5,33.25,32.055099999999996,0.5434688991970487,154.22548518029814,0.006484012670350458
ba,100,8,12.0,40,26.6,7882.42678121075,35.75,40.35,49.53160000000001,0.3892818520195163,296.3318338801034,0.0033745952532545074
ba,100,8,16.0,40,11.05,7313.8230960845,41.55,47.025,68.60409999999999,0.31661716165524567,661.8844430845701,0.0015108377458453548
ba,200,2,4.0,40,25.2,6555.345832350251,17.95,35.5,17.7014,1.1288006325885114,260.13277112501,0.0038441907787136816
ba,200,2,8.0,40,24.125,11089.615237426,25.225,50.025,45.33240000000001,0.737524729279467,459.6731704632539,0.002175458704697101
ba,200,2,12.0,40,18.575,11223.6733081485,30.6,60.8,75.80389999999997,0.5594813181233096,604.2354405463526,0.0016549840226117738
ba,200,2,16.0,40,18.2,12509.95335804075,34.925,69.425,112.51465,0.4768992529975044,687.3600746176236,0.001454841555288612
ba,200,3,4.0,40,68.9,12712.25924925425,24.8,36.675,17.669400000000003,1.1267600244872973,184.503036999336,0.005419964984118928
ba,200,3,8.0,40,37.575,16154.217539952,33.275,49.475,45.10640000000001,0.7338478758850481,429.91929580710575,0.0023260179520964686
ba,200,3,12.0,40,18.625,16193.363340056749,39.85,59.2,75.95739999999998,0.560614246407104,869.4423269829127,0.0011501625455366785
ba,200,3,16.0,40,22.6,20682.0767588325,45.85,68.375,110.72465,0.469312243991428,915.1361397713495,0.0010927335907090874
ba,200,4,4.0,40,97.875,14000.11242696575,26.9,35.35,17.338150000000002,1.1056365421895724,143.0407399945415,0.006991015287240267
ba,200,4,8.0,40,22.475,16349.17982596,38.125,50.275,45.26915000000001,0.736495698406914,727.4384794642937,0.0013746866961676656
ba,200,4,12.0,40,32.675,23041.018632305,44.875,59.35,76.13839999999998,0.5619501422987445,705.1574179741393,0.0014181230665812462
ba,200,4,16.0,40,18.9,20907.266022660002,49.675,65.65,109.43865000000001,0.46386146545410156,1106.2045514634922,0.0009039919413430498
ba,200,5,4.0,40,119.475,14875.683682796001,30.1,37.2,18.648400000000002,1.1891898785838182,124.50875649965266,0.008031563627436835
ba,200,5,8.0,40,48.775,20323.02227279,39.5,48.875,43.82815000000001,0.7130516907017911,416.66883183577653,0.0023999875286907332
ba,200,5,12.0,40,30.0,23451.514443867498,49.175,60.95,76.74439999999997,0.5664228103116399,781.7171481289166,0.0012792350818880659
ba,200,5,16.0,40,28.925,28460.269862932502,55.95,69.425,112.53465000000001,0.47698402404785156,983.9332709743302,0.0010163290839934297
