dimension,family,level,runs,mean_tau_h,sd_tau_h,ci95_tau_h,mean_b_h,sd_b_h,ci95_b_h,mean_tau_over_b,sd_tau_over_b,ci95_tau_over_b,mean_h,mean_x0,mean_w,mean_delta,mean_degree_variance,mean_degree_cv2
n,ba,100.0,800,23.885,20.74432895950059,1.4375086564858797,5217.827895120321,2477.3119753626424,171.66896149556945,0.005072704202239547,0.005242951565685282,0.0003633180073418115,114.33625,18.58375,26.6475,36.64875,41.513850000000005,0.5384170277480683
n,ba,200.0,800,46.73875,39.79598156376193,2.7577208259156665,18053.33979619324,7849.567791867253,543.9472962712591,0.00298332603102851,0.0030753646126053732,0.0002131118948750511,237.33125,35.7975,38.64375,53.35625,62.54557499999999,0.7225005157433398
n,ba,400.0,800,91.755,72.63363222821319,5.033253921296373,60218.646342762004,23285.73030247709,1613.6187845727375,0.0018162998094411005,0.0017411656219981206,0.00012065662181140887,483.47375,72.515,54.6175,75.38,84.56860624999999,0.9126409844311624
n,ba,800.0,800,181.655,142.66642250416766,9.886278690431558,192247.42734847486,71680.29468924507,4967.191000317095,0.0011189134064912623,0.001050865431420145,7.282125912182771e-05,975.89875,141.84375,77.39375,107.19125,107.17311249999999,1.1163661424119853
n,er,100.0,800,23.9625,28.900045147229264,2.0026709542199126,2607.7271891653572,1371.6978602629229,95.053812155637,0.011945860688038774,0.01787857811115724,0.0012389222543965207,122.49375,18.7325,13.13125,17.79625,8.615404999999999,0.11841606013062236
n,er,200.0,800,46.225,52.232721511478026,3.6195429348982673,6682.768558556825,3160.986164113035,219.04516568435562,0.009221213299083509,0.012767572031053104,0.0008847476027196443,245.525,36.62,14.05375,19.08875,9.34043175,0.12432877218731968
n,er,400.0,800,89.8025,97.71667810678626,6.771420320984498,16327.482893791264,6955.308791018562,481.978309114812,0.007232228604035329,0.009345678850166999,0.0006476225031949885,491.17625,72.60375,14.865,20.195,9.69066771875,0.12733770145530404
n,er,800.0,800,179.8325,189.05332817718016,13.100727255277048,38510.79694368024,15625.137088990703,1082.7667584742862,0.006111011064359966,0.007753733973932876,0.0005373063515034764,981.51375,144.1825,15.43875,20.99125,9.793510031250001,0.12889314385042547
n,ws,100.0,800,26.3125,42.35303493505823,2.9349155842282215,1738.8432990577264,1046.034746013181,72.48650970174147,0.020049279541419177,0.03797271625658659,0.0026313749861802925,123.84625,17.35375,9.44375,12.6325,0.9257750000000001,0.012155208333333336
n,ws,200.0,800,54.9925,98.68651746648109,6.838626759798877,4321.533434545363,2239.414211020031,155.183487500783,0.017925741940823827,0.036811266836835374,0.0025508906476305886,248.05875,32.46,9.6925,12.97625,0.9453249999999991,0.012306163194444442
n,ws,400.0,800,119.72625,230.67366393886675,15.984869377207305,10465.6859999656,5113.275014724866,354.3318808244022,0.016652980349359806,0.03675771786188508,0.0025471798929859206,496.14875,66.9475,9.90375,13.29625,0.9523000000000005,0.012401299370659728
n,ws,800.0,800,250.25375,504.74238275790515,34.97686263683632,24670.083208478998,11176.31041891307,774.4787988142109,0.014763570841383656,0.0334216942368214,0.002316005250092777,992.82125,133.23125,10.09875,13.59125,0.9507812500000002,0.012391006130642363
k_colors,ba,2.0,640,38.840625,33.515272106869375,2.596622608321427,41871.52729363901,49619.76808848077,3844.331361158995,0.0019540050738827484,0.0022333753272067293,0.00017303254614792855,885.1640625,38.29375,34.2328125,67.9859375,74.0338203125,0.8251822217905959
k_colors,ba,3.0,640,69.3796875,69.94239453931215,5.418843157883566,62745.11626317379,72716.20397531765,5633.746270403155,0.002457749302462899,0.0030584099861883087,0.00023695276858649966,547.2515625,68.0234375,45.5515625,67.825,73.92047265625,0.8196629956269504
k_colors,ba,4.0,640,78.1890625,90.32474989483316,6.997982499441813,72599.58175319165,85025.05126784084,6587.3840943846235,0.0024612573768380457,0.003216518816722757,0.00024920237714202325,392.6265625,69.0546875,51.60625,68.3,74.0958203125,0.8216758114021305
