family,n,k_colors,average_degree,trials,realized_mean_degree,mean_initial_phi,mean_h,mean_w,mean_x0,mean_tau_h,sd_tau_h,mean_b_h,mean_tau_over_b,mean_max_degree,mean_degree_variance,mean_final_phi,mean_accepted_moves,mean_total_activations,normal_ci95_low_tau_h,normal_ci95_high_tau_h
ba,100,2,4.0,40,3.9200000000000004,98.15,89.675,12.425,8.75,12.925,11.41386359000676,1897.2376011076751,0.006162185343816585,24.35,13.8376,48.075,26.1,395.5,9.387807027005012,16.462192972994988
ba,100,2,8.0,40,7.68,192.35,181.775,17.95,11.0,9.825,9.97146569994242,2669.9990945275,0.0029360764513314454,35.35,33.0731,119.2,34.075,487.275,6.7348107642378086,12.91518923576219
ba,100,2,12.0,40,11.28,282.475,270.975,20.925,12.325,11.875,10.622152710497444,3224.99614973925,0.0030232890004084105,41.25,51.407100000000014,190.0,39.45,521.225,8.5831607705083,15.1668392294917
ba,100,2,16.0,40,14.720000000000002,370.05,356.65,23.8,13.9,10.45,9.012669145608593,3908.4538828942505,0.0022668140094248244,47.075,69.3076,262.2,44.1,654.35,7.6569448948306045,13.243055105169393
ba,100,3,4.0,40,3.9200000000000004,65.775,43.15,16.95,22.625,37.15,14.864430095071995,3670.33766564725,0.010879291067350349,25.05,13.720600000000001,10.525,41.475,422.075,32.54346538836349,41.75653461163651
ba,100,3,8.0,40,7.68,127.6,109.45,23.3,18.225,18.425,8.688003813098279,4608.51897228425,0.004026486834954547,34.35,31.5346,46.25,46.95,491.475,15.732559723777399,21.117440276222602
ba,100,3,12.0,40,11.28,188.6,174.525,27.45,14.175,9.95,5.9006735817149485,5107.2148310229995,0.0018375940597638231,40.675,51.37660000000002,87.225,50.925,553.425,8.121362311754513,11.778637688245485
ba,100,3,16.0,40,14.720000000000002,244.35,227.1,31.575,17.75,11.8,8.907501880077811,5511.115922268,0.0017771006429348195,46.85,70.2261,127.45,56.275,640.3,9.039536568078766,14.560463431921235
ba,100,4,4.0,40,3.9200000000000004,50.45,25.225,18.45,25.225,46.9,17.332051234634633,4179.173258031,0.011454206429324,24.15,13.0091,2.675,36.1,360.275,41.52874167443047,52.27125832556953
ba,100,4,8.0,40,7.68,95.425,82.925,25.725,12.65,11.7,6.880667826860249,4584.9149163130005,0.002413927110344266,33.875,31.267600000000005,17.35,50.375,535.3,9.567658948719892,13.832341051280107
ba,100,4,12.0,40,11.28,141.15,119.875,30.125,21.35,17.275,8.427633119684318,6314.437872861499,0.0027030334949488923,39.725,49.77710000000001,42.625,56.1,523.375,14.663249437637658,19.886750562362337
ba,100,4,16.0,40,14.720000000000002,184.725,168.1,36.025,17.15,9.925,6.592099000376833,6485.65520313775,0.0013024305489518872,47.525,70.86459999999998,68.375,59.6,595.225,7.882087354554025,11.967912645445978
ba,100,5,4.0,40,3.9200000000000004,38.875,16.2,20.625,22.675,55.65,13.607219049328569,4387.97219367925,0.013505033314310766,25.35,14.2306,0.8,30.725,355.275,51.433079127962486,59.86692087203751
ba,100,5,8.0,40,7.68,77.175,54.1,27.65,23.075,25.875,10.978271079611577,5926.3181681075,0.004366703980031286,34.1,32.7966,7.725,47.5,418.95,22.472798544531827,29.277201455468173
ba,100,5,12.0,40,11.28,113.3,93.4,32.45,19.9,15.3,6.7185163197287485,6919.39673492675,0.00221050717522766,40.075,50.11610000000002,20.925,56.65,472.525,13.21791022139922,17.38208977860078
ba,100,5,16.0,40,14.720000000000002,150.025,124.575,38.35,25.45,18.55,8.363381723092273,8495.1479264255,0.0021474273432266714,47.475,69.9476,38.325,61.675,539.325,15.958161151733268,21.141838848266733
ba,100,8,4.0,40,3.9200000000000004,24.35,6.5,22.375,17.85,72.875,21.6453790887902,4545.18647827675,0.01697656083312075,25.125,13.5936,0.025,20.35,213.875,66.16702752364101,79.58297247635899
ba,100,8,8.0,40,7.68,48.65,21.625,29.5,27.025,43.6,12.921458995179396,6724.231153860999,0.006648355915641743,33.25,32.055099999999996,0.7,35.55,318.1,39.59559837051072,47.60440162948928
ba,100,8,12.0,40,11.28,70.1,44.95,35.75,25.15,26.6,9.270299970252394,7882.42678121075,0.003382763712202019,40.35,49.53160000000001,2.6,46.0,364.725,23.727104275099105,29.472895724900898
ba,100,8,16.0,40,14.720000000000002,91.325,75.95,41.55,15.425,11.05,6.139197308259736,7313.8230960845,0.0014342967774761991,47.025,68.60409999999999,7.275,53.425,404.425,9.147443043070991,12.95255695692901
ba,200,2,4.0,40,3.96,197.925,181.75,17.95,16.325,25.2,15.865136750200552,6555.345832350251,0.0036385192989419517,35.5,17.7014,98.075,53.225,944.025,20.283343182973795,30.116656817026204
ba,200,2,8.0,40,7.840000000000001,394.625,371.725,25.225,23.025,24.125,11.752113830591476,11089.615237426,0.0021868599095732225,50.025,45.33240000000001,239.875,71.125,1145.45,20.482982191428945,27.767017808571055
ba,200,2,12.0,40,11.64,581.525,560.4,30.6,21.525,18.575,14.535345955679285,11223.6733081485,0.0014087391817161731,60.8,75.80389999999997,390.475,80.075,1354.75,14.070449619750587,23.07955038024941
ba,200,2,16.0,40,15.36,767.35,745.65,34.925,23.025,18.2,14.151560573543353,12509.95335804075,0.0011542062236437039,69.425,112.51465,547.15,87.075,1493.325,13.814385941892894,22.585614058107105
ba,200,3,4.0,40,3.96,132.475,87.325,24.8,45.15,68.9,17.358659997911044,12712.25924925425,0.00552740745913544,36.675,17.669400000000003,20.125,83.4,930.7,63.520495533258455,74.27950446674156
ba,200,3,8.0,40,7.840000000000001,262.575,224.875,33.275,37.7,37.575,14.041855929638288,16154.217539952,0.002375227487435441,49.475,45.10640000000001,93.75,96.25,1256.45,33.22338376326739,41.92661623673261
ba,200,3,12.0,40,11.64,386.375,360.7,39.85,26.4,18.625,12.454404019750584,16193.363340056749,0.001012571842064603,59.2,75.95739999999998,173.925,107.175,1338.625,14.765340206967885,22.484659793032115
ba,200,3,16.0,40,15.36,507.425,475.25,45.85,32.525,22.6,13.641565441411322,20682.0767588325,0.0010192601203087297,68.375,110.72465,262.5,115.325,1540.825,18.3724350707802,26.827564929219804
ba,200,4,4.0,40,3.96,99.05,51.225,26.9,47.825,97.875,22.159315341640326,14000.11242696575,0.007408207858088434,35.35,17.338150000000002,5.525,73.35,902.8,91.00775702878943,104.74224297121057
ba,200,4,8.0,40,7.840000000000001,196.425,169.925,38.125,26.5,22.475,11.352143138903502,16349.17982596,0.0013676295518158569,50.275,45.26915000000001,35.925,101.65,1110.25,18.95693439296755,25.993065607032452
ba,200,4,12.0,40,11.64,292.3,247.825,44.875,44.475,32.675,11.310053390338513,23041.018632305,0.001451151155674953,59.35,76.13839999999998,84.325,117.25,1389.1,29.169978141185243,36.180021858814754
ba,200,4,16.0,40,15.36,383.5,353.025,49.675,31.075,18.9,11.358493941336791,20907.266022660002,0.0008202185121083009,65.65,109.43865000000001,140.05,123.9,1437.575,15.379966258902972,22.420033741097026
ba,200,5,4.0,40,3.96,81.15,33.775,30.1,47.375,119.475,25.242401750900136,14875.683682796001,0.008459272302170489,37.2,18.648400000000002,2.7,64.075,749.75,111.65229865170505,127.29770134829494
ba,200,5,8.0,40,7.840000000000001,154.7,111.8,39.5,42.9,48.775,14.32675012802168,20323.02227279,0.002438462904483564,48.875,43.82815000000001,14.525,96.425,988.2,44.33509413647957,53.21490586352043
ba,200,5,12.0,40,11.64,232.0,194.225,49.175,37.775,30.0,12.029877335947722,23451.514443867498,0.0012931157895669627,60.95,76.74439999999997,41.2,116.225,1243.875,26.271902389304728,33.72809761069527
ba,200,5,16.0,40,15.36,306.0,263.0,55.95,43.0,28.925,10.658781139727722,28460.269862932502,0.0010351778354658896,69.425,112.53465000000001,78.55,124.975,1454.8,25.621809502687068,32.22819049731294
ba,200,8,4.0,40,3.96,49.75,13.025,29.4,36.725,141.825,39.39861217131436,14291.440806602,0.010417984397743326,33.0,16.9464,0.175,40.275,602.45,129.61524359112343,154.03475640887655
ba,200,8,8.0,40,7.840000000000001,97.1,45.05,42.825,52.05,86.325,19.994085663977277,22628.818852465,0.003923696448259515,48.5,44.20140000000001,1.6,72.05,785.475,80.12876865779256,92.52123134220744
ba,200,8,12.0,40,11.64,147.025,95.125,52.525,51.9,53.625,13.108399147307356,27701.8171389925,0.001991828941664547,59.475,77.09989999999998,6.275,95.1,978.125,49.562665017158174,57.687334982841826
ba,200,8,16.0,40,15.36,189.625,160.95,61.35,28.675,20.1,8.508818954473057,27916.1473314675,0.0007369834007091056,69.6,111.91365,14.175,112.775,1021.575,17.463089686773554,22.73691031322645
ba,400,2,4.0,40,3.9799999999999995,399.8,366.025,24.6,33.775,55.35,19.763408301512865,23061.0938588575,0.002456828275364741,48.825,21.376974999999995,195.175,111.375,2266.775,49.22525631305528,61.47474368694472
ba,400,2,8.0,40,7.92,794.9,751.65,34.85,43.25,45.15,20.904606289106816,35307.361772145,0.0013084831398035373,69.175,58.80485,485.3,144.325,2805.7,38.671595392659526,51.62840460734047
ba,400,2,12.0,40,11.82,1182.275,1139.55,42.6,42.725,36.4,18.244493373660404,40692.82281352,0.0009068278840777492,84.75,103.13272500000001,799.825,161.425,3085.625,30.7459729259716,42.0540270740284
ba,400,2,16.0,40,15.680000000000001,1575.3,1523.075,48.025,52.225,37.425,21.575018198286887,47276.36864696,0.0007717790210821325,95.575,154.86110000000002,1115.175,177.925,3547.9,30.73883258951545,44.11116741048455
ba,400,3,4.0,40,3.9799999999999995,262.375,175.975,33.0,86.4,140.7,23.938168213877542,37656.059296975,0.003937676690779209,49.05,20.927725,41.35,165.35,2402.825,133.2814848123264,148.11851518767358
ba,400,3,8.0,40,7.92,528.875,454.65,46.6,74.225,67.625,16.329440928140837,51500.0558318725,0.001358355146351875,69.25,57.398225000000004,187.925,193.475,2902.925,62.564453827490304,72.6855461725097
ba,400,3,12.0,40,11.82,795.525,733.675,56.475,61.85,43.6,16.241447453494267,60101.384523215005,0.0007306209379541311,84.175,103.78509999999999,352.85,221.725,3403.25,38.56672328780361,48.63327671219639
ba,400,3,16.0,40,15.680000000000001,1048.025,972.85,64.35,75.175,45.85,18.498163457004356,69238.621970345,0.0006627621478633477,95.9,154.83785000000003,527.175,239.775,3641.85,40.11735975268566,51.582640247314345
ba,400,4,4.0,40,3.9799999999999995,196.625,103.9,38.125,92.725,175.375,26.15994932559979,45616.482008009996,0.0040388954926850185,50.275,22.01185,11.3,145.825,2020.725,167.26794771233887,183.48205228766113
ba,400,4,8.0,40,7.92,401.575,345.55,53.1,56.025,49.875,19.172880820950176,54786.086468565,0.0009279912773139509,70.275,58.06235,73.875,204.1,2813.375,43.93326267528617,55.81673732471383
ba,400,4,12.0,40,11.82,594.45,505.875,65.05,88.575,67.0,16.546748073107047,76133.1985366575,0.0009162618736627901,86.225,104.378975,169.0,233.275,3106.125,61.872109645557984,72.12789035444202
ba,400,4,16.0,40,15.680000000000001,786.7,723.175,72.5,63.525,38.125,15.625730752142813,75492.6581210025,0.0004992675719548051,96.15,156.68235,282.925,251.6,3202.975,33.282535870431886,42.967464129568114
ba,400,5,4.0,40,3.9799999999999995,160.7,67.95,39.3,92.75,213.8,33.06031783550508,45802.68714999,0.004932109206856587,48.575,20.742099999999997,4.875,124.65,1932.9,203.55450135613017,224.04549864386985
ba,400,5,8.0,40,7.92,313.925,227.825,56.275,86.1,89.45,16.87199165967381,64080.08301389,0.0014528437265960861,69.85,57.960350000000005,30.0,195.4,2312.525,84.2213156138225,94.67868438617751
ba,400,5,12.0,40,11.82,468.175,396.775,69.15,71.4,53.725,16.38321138802205,75237.673438835,0.000728908545147345,85.9,104.23885,83.425,228.35,2811.125,48.64779018933248,58.80220981066752
ba,400,5,16.0,40,15.680000000000001,628.675,537.675,76.45,91.0,58.675,15.344568069214892,90020.8555087125,0.0006626130846230511,94.95,154.25872500000003,155.375,255.975,3222.025,53.91966908859929,63.4303309114007
ba,400,8,4.0,40,3.9799999999999995,98.0,27.625,46.35,70.375,284.3,53.40757652963885,50221.5063187675,0.005956228596944548,52.425,21.923224999999995,0.425,81.675,1605.175,267.7488205579458,300.8511794420542
ba,400,8,8.0,40,7.92,198.05,91.725,62.875,106.325,185.225,27.61408735614524,78566.778434555,0.002439980062848408,71.425,58.52697500000001,4.175,144.6,1882.75,176.66730566787692,193.78269433212307
ba,400,8,12.0,40,11.82,292.975,192.85,77.0,100.125,102.625,22.27415139826477,93642.530338105,0.0011317305923363899,87.475,102.93409999999999,11.825,188.675,2036.8,95.72216896613779,109.52783103386221
ba,400,8,16.0,40,15.680000000000001,392.85,331.1,85.675,61.75,44.825,17.204482868404696,89938.61880426,0.0005058329145763055,97.375,154.527725,29.525,226.5,2437.125,39.49327552070844,50.15672447929157
ba,800,2,4.0,40,3.9900000000000007,795.1,734.8,36.1,60.3,93.425,27.31195614960504,76062.94020328,0.0012943433128032684,71.8,25.911649999999998,394.775,216.25,5330.625,84.96093709883534,101.88906290116465
ba,800,2,8.0,40,7.959999999999999,1587.75,1513.575,50.175,74.175,80.825,34.259108839278625,109786.51194073749,0.0007514473295881066,99.825,70.96496249999998,970.35,285.425,6399.6,70.20799217510668,91.44200782489332
ba,800,2,12.0,40,11.91,2390.275,2295.725,59.075,94.55,78.05,30.54710528062587,135274.2430561975,0.0005825761384139874,117.55,128.9573375,1602.5,328.325,7187.45,68.58335399605,87.51664600395
ba,800,2,16.0,40,15.84,3161.45,3079.625,68.5,81.825,63.65,30.071325467704533,149403.8199422925,0.00041510666213413733,136.5,201.553775,2251.2,349.1,8606.175,54.330799687658896,72.9692003123411
ba,800,3,4.0,40,3.9900000000000007,533.225,355.2,48.675,178.025,282.675,35.403453040338974,119470.26349863,0.0025027455029060655,72.525,25.8649625,82.75,335.35,5398.65,271.7033562330562,293.64664376694384
ba,800,3,8.0,40,7.959999999999999,1052.6,914.9,65.725,137.7,131.475,24.968685516267303,161651.676465225,0.000836903075088177,98.05,70.18652499999999,374.075,386.95,6450.05,123.73712419163753,139.21287580836247
ba,800,3,12.0,40,11.91,1600.375,1480.475,78.825,119.9,85.575,24.967555870646326,194387.3037471,0.0004420259966121141,117.8,130.07752499999998,706.175,444.875,7700.45,77.83747427244244,93.31252572755757
ba,800,3,16.0,40,15.84,2106.475,1965.925,92.125,140.55,87.55,24.238081924620506,225277.3905981,0.0003979598279037084,137.8,203.3339,1067.825,475.225,7931.85,80.03854059043528,95.06145940956472
ba,800,4,4.0,40,3.9900000000000007,396.25,208.6,54.25,187.65,373.05,35.954351400287905,145016.8836929975,0.0027083492186402492,71.85,26.055837499999996,24.1,291.825,4448.35,361.90763106254053,384.1923689374595
ba,800,4,8.0,40,7.959999999999999,790.925,695.325,74.775,95.6,85.925,20.722077289197795,172521.10751807498,0.0005107726176281695,99.175,70.48089999999999,148.2,409.4,6159.975,79.50316171577656,92.34683828422344
ba,800,4,12.0,40,11.91,1196.75,1020.625,90.925,176.125,130.85,24.569681128765808,232221.7019876,0.0005781295951417234,120.675,130.8819625,344.4,465.025,7095.125,123.23577693240624,138.46422306759376
ba,800,4,16.0,40,15.84,1579.25,1460.85,107.075,118.4,73.1,24.837729777755875,263943.431559925,0.0002796457211254295,142.275,203.87615,567.625,505.725,7331.15,65.40270779546135,80.79729220453864
ba,800,5,4.0,40,3.9900000000000007,319.1,137.6,59.075,181.5,427.175,46.11517771173191,155697.3380907625,0.0028862320024013594,73.2,25.5014625,9.575,245.35,3971.475,412.88375836529457,441.46624163470545
ba,800,5,8.0,40,7.959999999999999,634.7,459.675,79.825,175.025,184.625,28.995744603789795,208028.411827625,0.0009158312446362526,99.275,71.36858749999999,57.6,391.125,5229.65,175.6391256507498,193.6108743492502
ba,800,5,12.0,40,11.91,946.25,800.475,98.35,145.775,111.125,23.453377100876057,250293.12659149998,0.00045015930662386047,122.4,130.80102499999998,168.225,462.125,6178.55,103.85672313476272,118.39327686523728
ba,800,5,16.0,40,15.84,1272.8,1087.625,110.925,185.175,121.875,23.482877013273157,293219.444886825,0.00042346784248589834,138.15,200.4217125,318.2,511.225,7086.25,114.59758101719558,129.15241898280442
ba,800,8,4.0,40,3.9900000000000007,198.425,56.7,64.875,141.725,556.125,65.08660404139262,157581.00911759998,0.003674291481861125,73.675,26.248087499999997,1.225,164.425,3326.25,535.9544524342406,576.2955475657594
ba,800,8,8.0,40,7.959999999999999,402.825,186.8,86.95,216.025,369.2,33.43972763967112,236303.9370767,0.0016229894485862,98.825,70.700775,8.075,290.9,3993.1,358.8369210396494,379.5630789603506
ba,800,8,12.0,40,11.91,592.475,392.45,100.925,200.025,205.3,29.01122682775208,267811.08352640003,0.0007862804623443452,114.9,128.31346249999999,25.55,382.475,4775.55,196.30932765983516,214.29067234016486
ba,800,8,16.0,40,15.84,797.85,671.025,120.725,126.825,91.525,22.905589397372548,290996.921641925,0.00031901134290106747,137.575,201.96165000000002,59.375,456.75,5521.375,84.42648430285851,98.6235156971415
er,100,2,4.0,40,4.051,101.3,88.125,5.025,13.225,21.575,14.021755075047324,929.9282790456251,0.022227288926349075,9.475,3.7085999999999997,45.85,32.9,496.525,17.229613082642874,25.920386917357124
er,100,2,8.0,40,7.9975,200.85,187.3,7.85,13.7,14.475,10.337850542842736,1417.5418406929998,0.009277325562914366,15.225,7.3754300000000015,119.925,37.85,522.925,11.271266925072469,17.678733074927532
er,100,2,12.0,40,11.954,298.45,286.225,10.575,13.75,11.925,10.701994781707397,1652.6648328055003,0.005622476851707041,20.675,10.567219999999999,199.9,41.65,591.05,8.608417456291678,15.241582543708324
er,100,2,16.0,40,16.092000000000002,402.125,389.35,13.375,13.6,9.0,9.089300556994724,2072.03469616625,0.0032526154548946132,26.125,13.322199999999995,288.4,45.125,613.175,6.183196574401839,11.816803425598161
er,100,3,4.0,40,3.9005,64.925,48.15,6.7,16.775,24.65,8.526128769545519,1359.458445847775,0.018809891984185433,9.575,3.66961,10.1,38.05,425.85,22.007725319506033,27.292274680493964
er,100,3,8.0,40,8.01,132.225,116.475,10.5,16.25,14.175,8.63768576556333,1791.86975455875,0.006866450902427834,15.25,7.1024,44.175,49.5,623.45,11.498153448264459,16.85184655173554
er,100,3,12.0,40,11.993500000000001,202.325,182.725,14.05,19.675,13.5,8.142953537119826,2730.090026497,0.004770344340007279,20.625,10.52233,87.6,56.4,697.95,10.976472554294135,16.023527445705867
er,100,3,16.0,40,15.928999999999998,262.325,248.625,17.45,14.4,8.575,6.898113826182804,2956.622641377,0.002406422824827125,25.625,13.036139999999994,135.15,58.85,716.175,6.437252377516022,10.712747622483977
er,100,4,4.0,40,4.0,51.6,30.675,7.5,20.925,32.5,10.320504857458308,1621.3974369617501,0.020785250290794276,9.5,3.8375600000000007,2.1,36.45,359.75,29.301642408664833,35.69835759133517
er,100,4,8.0,40,7.9915,102.2,80.775,11.85,21.425,19.65,9.00014244901513,2604.0470966010002,0.007676222180002419,15.225,7.224489999999998,18.25,51.875,478.1,16.86082695832434,22.43917304167566
